"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.3,"beta_A","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_O",0.3,0.2,0.3,"beta_O","(0.2-0.3)","0.3","0.3 (0.2-0.3)"
"beta_Al",0.5,0.4,0.5,"beta_Al","(0.4-0.5)","0.5","0.5 (0.4-0.5)"
"rho_v",91.4,45.2,99.9,"rho_v","(45.2-99.9)","91.4%","91.4% (45.2-99.9)"
"omega_i1",36.2,27.4,39.4,"omega_i1","(27.4-39.4)","36.2%","36.2% (27.4-39.4)"
"omega_i2",51.1,40.3,56.1,"omega_i2","(40.3-56.1)","51.1%","51.1% (40.3-56.1)"
"I0_i_M",103.2,53.7,167,"I0_i_M","(53.7-167)","103.2","103.2 (53.7-167)"
"I0_i_A",0.6,0.1,2.8,"I0_i_A","(0.1-2.8)","0.6","0.6 (0.1-2.8)"
"I0_i_O",89.3,19.3,203.5,"I0_i_O","(19.3-203.5)","89.3","89.3 (19.3-203.5)"
"I0_i_Al",90,32.3,184.5,"I0_i_Al","(32.3-184.5)","90","90 (32.3-184.5)"
"I0_v_M",24.3,13.1,37.2,"I0_v_M","(13.1-37.2)","24.3","24.3 (13.1-37.2)"
"I0_v_A",0.1,0,0.3,"I0_v_A","(0-0.3)","0.1","0.1 (0-0.3)"
"I0_v_O",6.2,1.3,14.9,"I0_v_O","(1.3-14.9)","6.2","6.2 (1.3-14.9)"
"I0_v_Al",21.7,9.9,35.6,"I0_v_Al","(9.9-35.6)","21.7","21.7 (9.9-35.6)"
"k",0.1,0,0.1,"k","(0-0.1)","0.1","0.1 (0-0.1)"
