"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U"
"1",2020-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2020-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2020-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2020-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2020-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2020-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-06-01,NA,NA,NA,1.7612293141844,0.0903392536964441,9.70411497127075,246.572103985816,238.629218328729,248.242994046304,NA,NA,NA
"33",2020-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2020-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2020-06-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2020-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2020-06-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2020-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2020-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2020-06-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2020-06-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2020-06-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2020-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2020-06-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2020-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2020-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2020-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2020-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2020-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2020-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2020-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2020-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2020-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2020-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2020-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2020-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2020-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2020-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",2020-07-01,NA,NA,NA,0,6.52762366818758e-16,10.9508316741477,199.0967742,188.145942525852,199.0967742,NA,NA,NA
"63",2020-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",2020-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",2020-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",2020-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",2020-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",2020-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",2020-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",2020-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",2020-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",2020-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",2020-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",2020-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",2020-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",2020-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",2020-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",2020-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",2020-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",2020-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",2020-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",2020-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",2020-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",2020-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",2020-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",2020-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2020-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",2020-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",2020-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",2020-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",2020-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",2020-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2020-08-01,NA,NA,NA,91.8351745465753,52.581514582076,152.374494838708,517.616438353425,457.077118061292,556.870098317924,NA,NA,NA
"94",2020-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",2020-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",2020-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",2020-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",2020-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",2020-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",2020-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",2020-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2020-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",2020-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",2020-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",2020-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2020-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2020-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2020-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2020-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2020-08-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2020-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2020-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2020-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2020-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2020-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2020-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2020-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2020-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2020-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2020-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2020-08-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2020-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2020-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2020-09-01,19.1167441813954,6.51668702663174,55.094703714211,554.385581260465,467.556741915228,645.800516287521,796.53100755814,705.00489096539,884.142164422507,NA,NA,NA
"125",2020-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2020-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2020-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2020-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2020-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2020-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2020-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2020-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2020-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2020-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2020-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2020-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2020-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2020-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2020-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2020-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2020-09-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2020-09-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2020-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2020-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2020-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2020-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2020-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2020-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2020-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2020-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2020-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2020-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2020-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2020-10-01,886.83820902439,649.716538412622,1200.27668116881,5033.40605121951,4540.99359029871,5532.09389900374,4889.5944497561,4399.47539323821,5388.41807514906,NA,NA,NA
"155",2020-10-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2020-10-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2020-10-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2020-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2020-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2020-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2020-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2020-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",2020-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",2020-10-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",2020-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",2020-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",2020-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",2020-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2020-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2020-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2020-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2020-10-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2020-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2020-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2020-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2020-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2020-10-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2020-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2020-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2020-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2020-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2020-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2020-10-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2020-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2020-11-01,1860.64062522321,1139.14585163346,2987.8647246658,14512.9968767411,12700.3727171176,16304.7071535886,11411.9291680357,9678.32350847114,13229.190358704,NA,NA,NA
"186",2020-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2020-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2020-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",2020-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",2020-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",2020-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",2020-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",2020-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",2020-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",2020-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",2020-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",2020-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",2020-11-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199",2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2020-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"201",2020-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
