"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.3,"beta_A","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_O",0.2,0.2,0.3,"beta_O","(0.2-0.3)","0.2","0.2 (0.2-0.3)"
"beta_Al",0.5,0.4,0.5,"beta_Al","(0.4-0.5)","0.5","0.5 (0.4-0.5)"
"rho_v",55.3,25.1,99.1,"rho_v","(25.1-99.1)","55.3%","55.3% (25.1-99.1)"
"omega_i1",24.8,7.9,39,"omega_i1","(7.9-39)","24.8%","24.8% (7.9-39)"
"omega_i2",33.7,4.5,55.5,"omega_i2","(4.5-55.5)","33.7%","33.7% (4.5-55.5)"
"I0_i_M",95.7,46.9,164.3,"I0_i_M","(46.9-164.3)","95.7","95.7 (46.9-164.3)"
"I0_i_A",2.2,0,13.5,"I0_i_A","(0-13.5)","2.2","2.2 (0-13.5)"
"I0_i_O",118.1,22.5,255.6,"I0_i_O","(22.5-255.6)","118.1","118.1 (22.5-255.6)"
"I0_i_Al",120.6,35.5,242.1,"I0_i_Al","(35.5-242.1)","120.6","120.6 (35.5-242.1)"
"I0_v_M",24.4,12.8,37.4,"I0_v_M","(12.8-37.4)","24.4","24.4 (12.8-37.4)"
"I0_v_A",0.1,0,0.6,"I0_v_A","(0-0.6)","0.1","0.1 (0-0.6)"
"I0_v_O",5.8,1.4,13.9,"I0_v_O","(1.4-13.9)","5.8","5.8 (1.4-13.9)"
"I0_v_Al",16.8,5.1,32,"I0_v_Al","(5.1-32)","16.8","16.8 (5.1-32)"
"k",0.1,0,0.1,"k","(0-0.1)","0.1","0.1 (0-0.1)"
