"","mean","lower","upper","parameters","CrI","Mean","out"
"beta_M",0.3,0.3,0.3,"beta_M","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_A",0.3,0.3,0.3,"beta_A","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_O",0.3,0.3,0.3,"beta_O","(0.3-0.3)","0.3","0.3 (0.3-0.3)"
"beta_Al",0.5,0.4,0.5,"beta_Al","(0.4-0.5)","0.5","0.5 (0.4-0.5)"
"rho_v",92.4,72,99.8,"rho_v","(72-99.8)","92.4%","92.4% (72-99.8)"
"omega_i1",36.5,33.3,39.3,"omega_i1","(33.3-39.3)","36.5%","36.5% (33.3-39.3)"
"omega_i2",51.7,47,56.2,"omega_i2","(47-56.2)","51.7%","51.7% (47-56.2)"
"I0_i_M",103.5,53.7,166.1,"I0_i_M","(53.7-166.1)","103.5","103.5 (53.7-166.1)"
"I0_i_A",0.6,0.1,2.5,"I0_i_A","(0.1-2.5)","0.6","0.6 (0.1-2.5)"
"I0_i_O",90.4,19.8,201.9,"I0_i_O","(19.8-201.9)","90.4","90.4 (19.8-201.9)"
"I0_i_Al",88.3,30.2,180.4,"I0_i_Al","(30.2-180.4)","88.3","88.3 (30.2-180.4)"
"I0_v_M",24.4,13.5,37.5,"I0_v_M","(13.5-37.5)","24.4","24.4 (13.5-37.5)"
"I0_v_A",0.1,0,0.3,"I0_v_A","(0-0.3)","0.1","0.1 (0-0.3)"
"I0_v_O",6.4,1.3,14.9,"I0_v_O","(1.3-14.9)","6.4","6.4 (1.3-14.9)"
"I0_v_Al",21.7,10.6,35.7,"I0_v_Al","(10.6-35.7)","21.7","21.7 (10.6-35.7)"
"k",0.1,0,0.1,"k","(0-0.1)","0.1","0.1 (0-0.1)"
