"","mean","lower","upper","parameters","CrI","out"
"1",1.38,1.34,1.47,"R0_M","(1.34-1.47)","1.38 (1.34-1.47)"
"2",1.45,1.39,1.51,"R0_A","(1.39-1.51)","1.45 (1.39-1.51)"
"3",1.26,1.23,1.32,"R0_O","(1.23-1.32)","1.26 (1.23-1.32)"
"4",2.26,2.16,2.44,"R0_Al","(2.16-2.44)","2.26 (2.16-2.44)"
"beta_M",0.29,0.28,0.29,"beta_M","(0.28-0.29)","0.29 (0.28-0.29)"
"beta_A",0.3,0.28,0.31,"beta_A","(0.28-0.31)","0.3 (0.28-0.31)"
"beta_O",0.26,0.25,0.27,"beta_O","(0.25-0.27)","0.26 (0.25-0.27)"
"beta_Al",0.47,0.45,0.49,"beta_Al","(0.45-0.49)","0.47 (0.45-0.49)"
"rho_v",92.07,61.13,99.84,"rho_v","(61.13-99.84)","92.07% (61.13-99.84)"
"omega_i1",36.16,31.6,39.12,"omega_i1","(31.6-39.12)","36.16% (31.6-39.12)"
"omega_i2",51.16,44.1,55.99,"omega_i2","(44.1-55.99)","51.16% (44.1-55.99)"
"I0_i_M",103.6,53.69,168.3,"I0_i_M","(53.69-168.3)","103.6 (53.69-168.3)"
"I0_i_A",0.68,0.06,2.78,"I0_i_A","(0.06-2.78)","0.68 (0.06-2.78)"
"I0_i_O",90.84,21.28,202.59,"I0_i_O","(21.28-202.59)","90.84 (21.28-202.59)"
"I0_i_Al",91.38,33.42,183.45,"I0_i_Al","(33.42-183.45)","91.38 (33.42-183.45)"
"I0_v_M",24.31,13.22,37.75,"I0_v_M","(13.22-37.75)","24.31 (13.22-37.75)"
"I0_v_A",0.07,0.01,0.29,"I0_v_A","(0.01-0.29)","0.07 (0.01-0.29)"
"I0_v_O",6.1,1.32,13.99,"I0_v_O","(1.32-13.99)","6.1 (1.32-13.99)"
"I0_v_Al",21.82,10.28,35.03,"I0_v_Al","(10.28-35.03)","21.82 (10.28-35.03)"
"k",0.05,0.01,0.11,"k","(0.01-0.11)","0.05 (0.01-0.11)"
