"","mean","lower","upper","parameters","CrI","out"
"1",1.38,1.34,1.43,"R0_M","(1.34-1.43)","1.38 (1.34-1.43)"
"2",1.45,1.39,1.52,"R0_A","(1.39-1.52)","1.45 (1.39-1.52)"
"3",1.26,1.23,1.31,"R0_O","(1.23-1.31)","1.26 (1.23-1.31)"
"4",2.26,2.16,2.38,"R0_Al","(2.16-2.38)","2.26 (2.16-2.38)"
"beta_M",0.29,0.28,0.29,"beta_M","(0.28-0.29)","0.29 (0.28-0.29)"
"beta_A",0.3,0.29,0.32,"beta_A","(0.29-0.32)","0.3 (0.29-0.32)"
"beta_O",0.26,0.25,0.27,"beta_O","(0.25-0.27)","0.26 (0.25-0.27)"
"beta_Al",0.47,0.45,0.49,"beta_Al","(0.45-0.49)","0.47 (0.45-0.49)"
"rho_v",93.39,78.21,99.73,"rho_v","(78.21-99.73)","93.39% (78.21-99.73)"
"omega_i1",36.77,33.81,39.43,"omega_i1","(33.81-39.43)","36.77% (33.81-39.43)"
"omega_i2",52.69,48.37,56.82,"omega_i2","(48.37-56.82)","52.69% (48.37-56.82)"
"I0_i_M",104.16,53.64,166.51,"I0_i_M","(53.64-166.51)","104.16 (53.64-166.51)"
"I0_i_A",0.55,0.05,2.38,"I0_i_A","(0.05-2.38)","0.55 (0.05-2.38)"
"I0_i_O",89.59,20.96,199.96,"I0_i_O","(20.96-199.96)","89.59 (20.96-199.96)"
"I0_i_Al",88.71,30.83,182.24,"I0_i_Al","(30.83-182.24)","88.71 (30.83-182.24)"
"I0_v_M",24.31,13.08,37.87,"I0_v_M","(13.08-37.87)","24.31 (13.08-37.87)"
"I0_v_A",0.06,0.01,0.27,"I0_v_A","(0.01-0.27)","0.06 (0.01-0.27)"
"I0_v_O",6.31,1.37,14.79,"I0_v_O","(1.37-14.79)","6.31 (1.37-14.79)"
"I0_v_Al",21.88,11.15,35.14,"I0_v_Al","(11.15-35.14)","21.88 (11.15-35.14)"
"k",0.05,0.01,0.12,"k","(0.01-0.12)","0.05 (0.01-0.12)"
